Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
57,57,72,2013-03-27,NOH,,LAC,L 91-105,1,39:16,9,13,.692,0,0,,9,13,.692,.692,1,3,.333,2,7,9,2,1,0,1,4,19,16.0,-21
58,58,73,2013-03-29,NOH,,MIA,L 89-108,1,28:28,5,10,.500,0,0,,5,10,.500,.500,1,2,.500,3,2,5,0,4,2,2,5,11,9.7,-16
59,59,74,2013-03-31,NOH,,CLE,W 112-92,1,37:11,5,11,.455,0,0,,5,11,.455,.455,7,11,.636,3,10,13,2,1,2,0,1,17,18.2,8
60,60,75,2013-04-03,NOH,@,GSW,L 88-98,1,31:34,2,11,.182,0,0,,2,11,.182,.182,2,2,1.000,3,6,9,0,1,1,1,5,6,1.7,-8
61,61,76,2013-04-05,NOH,@,UTA,L 83-95,1,30:52,10,16,.625,0,0,,10,16,.625,.625,4,5,.800,4,8,12,0,0,3,0,1,24,23.3,10
62,62,77,2013-04-07,NOH,@,PHO,W 95-92,1,30:36,6,10,.600,0,0,,6,10,.600,.600,8,8,1.000,2,1,3,1,3,2,3,5,20,17.2,-5
63,63,78,2013-04-09,NOH,@,LAL,L 96-104,1,37:41,7,14,.500,0,0,,7,14,.500,.500,4,4,1.000,2,12,14,2,4,1,0,4,18,20.5,0
64,64,79,2013-04-10,NOH,@,SAC,L 110-121,1,31:45,4,9,.444,0,0,,4,9,.444,.444,5,5,1.000,4,6,10,2,0,2,1,2,13,13.9,-10
64,,80,2013-04-12,NOH,,LAC,L 93-96,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
64,,81,2013-04-14,NOH,,DAL,L 89-107,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
64,,82,2013-04-17,NOH,@,DAL,L 87-99,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,,,,,,,23-41,60,1848,349,676,.516,0,6,.000,349,670,.521,.516,169,225,.751,165,357,522,63,75,112,89,158,867,12.2,-154
